Central Burma,Magway Region,Gangaw District,Gangaw 
Central Burma,Magway Region,Gangaw District,Tilin  
Central Burma,Magway Region,Gangaw District,Saw 
Central Burma,Magway Region,Magway District,Magway 
Central Burma,Magway Region,Magway District,Yenangyaung 
Central Burma,Magway Region,Magway District,Chauck 
Central Burma,Magway Region,Magway District,Taungdwingyi 
Central Burma,Magway Region,Magway District,Myothit 
Central Burma,Magway Region,Magway District,Natmauk 
Central Burma,Magway Region,Minbu District,Minbu 
Central Burma,Magway Region,Minbu District,Pwintbyu 
Central Burma,Magway Region,Minbu District,Ngape 
Central Burma,Magway Region,Minbu District,Salin 
Central Burma,Magway Region,Minbu District,Sidoktaya 
Central Burma,Magway Region,Pakokku District,Myaing 
Central Burma,Magway Region,Pakokku District,Pakokku 
Central Burma,Magway Region,Pakokku District,Pauk 
Central Burma,Magway Region,Pakokku District,Seikphyu  
Central Burma,Magway Region,Pakokku District,Yesagyo 
Central Burma,Magway Region,Thayet District,Aunglan  
Central Burma,Magway Region,Thayet District,Kamma 
Central Burma,Magway Region,Thayet District,Mindon  
Central Burma,Magway Region,Thayet District,Minhla  
Central Burma,Magway Region,Thayet District,Sinbaungwe  
Central Burma,Magway Region,Thayet District,Thayet 
Central Burma,Mandalay Region,Kyaukse District,Kyaukse 
Central Burma,Mandalay Region,Kyaukse District,Myittha 
Central Burma,Mandalay Region,Kyaukse District,Sintgaing 
Central Burma,Mandalay Region,Kyaukse District,Tada-U 
Central Burma,Mandalay Region,Mandalay District,Amarapura 
Central Burma,Mandalay Region,Mandalay District,Aungmyethazan 
Central Burma,Mandalay Region,Mandalay District,Chanayethazan 
Central Burma,Mandalay Region,Mandalay District,Chanmyathazi 
Central Burma,Mandalay Region,Mandalay District,Mahaaungmye 
Central Burma,Mandalay Region,Mandalay District,Patheingyi 
Central Burma,Mandalay Region,Mandalay District,Pyigyidagun 
Central Burma,Mandalay Region,Meiktila District,Mahlaing 
Central Burma,Mandalay Region,Meiktila District,Meiktila 
Central Burma,Mandalay Region,Meiktila District,Thazi 
Central Burma,Mandalay Region,Meiktila District,Wundwin 
Central Burma,Mandalay Region,Myingyan District,Kyaukpadaung 
Central Burma,Mandalay Region,Myingyan District,Myingyan 
Central Burma,Mandalay Region,Myingyan District,Natogyi 
Central Burma,Mandalay Region,Myingyan District,Nganzun 
